ISO,Country,Global category,Overview category,Sector,Subsector,Indicator ID,Value,Source,Indicator name
AND,Andorra,Overview,Net-zero Target,,,nz_status,"In Law (06/29/2021)<br>In Policy Document (07/12/2021, 10/31/2022)<br>In Political Pledge (12/12/2020)",Net_Zero,Net-zero Target Status
ATG,Antigua and Barbuda,Overview,Net-zero Target,,,nz_status,In Policy Document (9/2/2021),Net_Zero,Net-zero Target Status
ARG,Argentina,Overview,Net-zero Target,,,nz_status,In Policy Document (11/6/2022)<br>In Political Pledge (12/12/2020),Net_Zero,Net-zero Target Status
AUS,Australia,Overview,Net-zero Target,,,nz_status,In Law (9/8/2022)<br>In Policy Document (10/16/2021),Net_Zero,Net-zero Target Status
AUT,Austria,Overview,Net-zero Target,,,nz_status,In Law (1/1/2022)<br>In Policy Document (11/12/2020),Net_Zero,Net-zero Target Status
BHR,Bahrain,Overview,Net-zero Target,,,nz_status,In Political Pledge (11/2/2021),Net_Zero,Net-zero Target Status
BRB,Barbados,Overview,Net-zero Target,,,nz_status,In Political Pledge (12/12/2020),Net_Zero,Net-zero Target Status
BLZ,Belize,Overview,Net-zero Target,,,nz_status,In Policy Document (5/3/2023),Net_Zero,Net-zero Target Status
BTN,Bhutan,Overview,Net-zero Target,,,nz_status,"In Policy Document (9/22/2023, 6/22/2021, 9/18/2017)",Net_Zero,Net-zero Target Status
BRA,Brazil,Overview,Net-zero Target,,,nz_status,In Policy Document (12/8/2020) and (10/28/2021)<br>In Political Pledge (4/22/2021),Net_Zero,Net-zero Target Status
BGR,Bulgaria,Overview,Net-zero Target,,,nz_status,In Political Pledge (11/2/2021),Net_Zero,Net-zero Target Status
KHM,Cambodia,Overview,Net-zero Target,,,nz_status,In Policy Document (12/30/2021),Net_Zero,Net-zero Target Status
CAN,Canada,Overview,Net-zero Target,,,nz_status,"In Law (06/29/2021)<br>In Policy Document (10/31/2022, 07/12/2021)<br>In Political Pledge (12/12/2020)",Net_Zero,Net-zero Target Status
CPV,Cape Verde,Overview,Net-zero Target,,,nz_status,In Policy Document (4/5/2021),Net_Zero,Net-zero Target Status
CHL,Chile,Overview,Net-zero Target,,,nz_status,In Law (9/8/2022)<br>In Policy Document (4/8/2020),Net_Zero,Net-zero Target Status
CHN,China,Overview,Net-zero Target,,,nz_status,In Policy Document (10/28/2021)<br>In Political Pledge (12/12/2020),Net_Zero,Net-zero Target Status
COL,Colombia,Overview,Net-zero Target,,,nz_status,In Law (12/22/2021)<br>In Policy Document (11/12/2021)<br>In Political Pledge (11/2/2021),Net_Zero,Net-zero Target Status
COM,Comoros,Overview,Net-zero Target,,,nz_status,In Policy Document (11/5/2021),Net_Zero,Net-zero Target Status
CRI,Costa Rica,Overview,Net-zero Target,,,nz_status,In Policy Document (12/12/2019),Net_Zero,Net-zero Target Status
HRV,Croatia,Overview,Net-zero Target,,,nz_status,In Policy Document (6/1/2021),Net_Zero,Net-zero Target Status
CYP,Cyprus,Overview,Net-zero Target,,,nz_status,In Policy Document (2/7/2023)<br>In Political Pledge (11/2/2021),Net_Zero,Net-zero Target Status
DNK,Denmark,Overview,Net-zero Target,,,nz_status,In Law (6/12/2019)<br>In Policy Document (12/30/2020),Net_Zero,Net-zero Target Status
DMA,Dominica,Overview,Net-zero Target,,,nz_status,In Policy Document (5/14/2020),Net_Zero,Net-zero Target Status
DOM,Dominican Republic,Overview,Net-zero Target,,,nz_status,In Policy Document (12/28/2020),Net_Zero,Net-zero Target Status
EST,Estonia,Overview,Net-zero Target,,,nz_status,In Political Pledge (1/25/2021),Net_Zero,Net-zero Target Status
ETH,Ethiopia,Overview,Net-zero Target,,,nz_status,In Policy Document (6/21/2023),Net_Zero,Net-zero Target Status
EUU,European Union (27),Overview,Net-zero Target,,,nz_status,"In Law (6/30/2021)<br>In Policy Document (3/6/2020, 12/18/2020)",Net_Zero,Net-zero Target Status
FJI,Fiji,Overview,Net-zero Target,,,nz_status,"In Law (9/23/2021)<br>In Policy Document (2/25/2019, 12/30/2020)",Net_Zero,Net-zero Target Status
FIN,Finland,Overview,Net-zero Target,,,nz_status,In Law (5/25/2022)<br>In Policy Document (6/6/2019),Net_Zero,Net-zero Target Status
FRA,France,Overview,Net-zero Target,,,nz_status,In Law (4/30/2019)<br>In Policy Document (2/8/2021),Net_Zero,Net-zero Target Status
GAB,Gabon,Overview,Net-zero Target,,,nz_status,In Policy Document (7/6/2022),Net_Zero,Net-zero Target Status
GMB,Gambia,Overview,Net-zero Target,,,nz_status,"In Policy Document (9/22/2022, 3/1/2021)",Net_Zero,Net-zero Target Status
GEO,Georgia,Overview,Net-zero Target,,,nz_status,In Policy Document (7/25/2023),Net_Zero,Net-zero Target Status
DEU,Germany,Overview,Net-zero Target,,,nz_status,In Law (5/5/2021)<br>In Policy Document (11/2/22)<br>In Political Pledge (5/14/2019 and 5/5/2021),Net_Zero,Net-zero Target Status
GHA,Ghana,Overview,Net-zero Target,,,nz_status,In Political Pledge (10/1/2022),Net_Zero,Net-zero Target Status
GRC,Greece,Overview,Net-zero Target,,,nz_status,In Law (05/26/2022),Net_Zero,Net-zero Target Status
GUY,Guyana,Overview,Net-zero Target,,,nz_status,In Political Pledge (4/22/2021),Net_Zero,Net-zero Target Status
HUN,Hungary,Overview,Net-zero Target,,,nz_status,In Law (5/14/2020),Net_Zero,Net-zero Target Status
ISL,Iceland,Overview,Net-zero Target,,,nz_status,"In Law (6/25/2021)<br>In Policy Document (2/18/2021, 10/28/2021)",Net_Zero,Net-zero Target Status
IND,India,Overview,Net-zero Target,,,nz_status,"In Policy Document (8/26/2022, 11/14/2022)<br>In Political Pledge (11/1/2021)",Net_Zero,Net-zero Target Status
IDN,Indonesia,Overview,Net-zero Target,,,nz_status,In Policy Document (9/23/2022),Net_Zero,Net-zero Target Status
IRL,Ireland,Overview,Net-zero Target,,,nz_status,"In Law (8/30/2021)<br>In Policy Document (6/17/2019, 5/16/2023)",Net_Zero,Net-zero Target Status
ISR,Israel,Overview,Net-zero Target,,,nz_status,In Political Pledge (11/1/2021),Net_Zero,Net-zero Target Status
ITA,Italy,Overview,Net-zero Target,,,nz_status,In Policy Document (2021)<br>In Political Pledge (12/12/2020),Net_Zero,Net-zero Target Status
JAM,Jamaica,Overview,Net-zero Target,,,nz_status,In Political Pledge (12/12/2020),Net_Zero,Net-zero Target Status
