Country,Year,energy_use
Australia,2000,2545.7
Austria,2000,920.7
Belgium,2000,
Canada,2000,6900.56
Czech Republic,2000,1048.29
Denmark,2000,560.18
Finland,2000,982.35
France,2000,5865.09
Germany,2000,8768.07
Greece,2000,688.01
Hungary,2000,714.42
Italy,2000,4939.81
Japan,2000,12963.41
Korea,2000,
Lithuania,2000,158.35
Netherlands,2000,2019.05
New Zealand,2000,698.87
Poland,2000,2203.42
Portugal,2000,703.53
Slovak Republic,2000,435.06
Spain,2000,3155.86
Switzerland,2000,714.13
United Kingdom,2000,5929.31
United States,2000,57739.89
IEA,2000,130477.29
Brazil,2000,
Slovenia,2000,176.47
Australia,2001,2554.74
Austria,2001,936.06
Belgium,2001,
Canada,2001,6717.35
Czech Republic,2001,1057.3
Denmark,2001,558.21
Finland,2001,980.93
France,2001,5992.48
Germany,2001,8819.01
Greece,2001,711.24
Hungary,2001,719.91
Italy,2001,4986.24
Japan,2001,12898.35
Korea,2001,
Lithuania,2001,158.69
Netherlands,2001,2031.56
New Zealand,2001,724.02
Poland,2001,2145.77
Portugal,2001,712.08
Slovak Republic,2001,452.14
Spain,2001,3307.18
Switzerland,2001,726.16
United Kingdom,2001,5806.36
United States,2001,57124.17
IEA,2001,129187.23
Brazil,2001,
Slovenia,2001,183.02
Australia,2002,2553.62
Austria,2002,940.63
Belgium,2002,
Canada,2002,6852.97
Czech Republic,2002,1041.65
Denmark,2002,560.45
Finland,2002,1010.13
France,2002,5995.41
Germany,2002,8725.8
Greece,2002,732.78
Hungary,2002,733.15
Italy,2002,5017.74
Japan,2002,12949.54
Korea,2002,
Lithuania,2002,167.48
Netherlands,2002,2036.76
New Zealand,2002,768.51
Poland,2002,2153.02
Portugal,2002,728.61
Slovak Republic,2002,464.61
Spain,2002,3381.09
Switzerland,2002,718.8
United Kingdom,2002,5747.11
United States,2002,57043.65
IEA,2002,130202.38
Brazil,2002,
Slovenia,2002,184.14
Australia,2003,2654.8
Austria,2003,956.21
Belgium,2003,
Canada,2003,6936.26
Czech Republic,2003,1087.11
Denmark,2003,564.43
Finland,2003,1023.19
France,2003,6011.5
Germany,2003,8782.09
Greece,2003,758.47
Hungary,2003,732.8
Italy,2003,5196.85
Japan,2003,12860.56
Korea,2003,
Lithuania,2003,169.63
Netherlands,2003,2048.18
New Zealand,2003,790.47
Poland,2003,2168.13
Portugal,2003,703.72
Slovak Republic,2003,445.41
Spain,2003,3594.33
Switzerland,2003,730.16
United Kingdom,2003,5659.26
United States,2003,57868.7
IEA,2003,131662.32
Brazil,2003,
Slovenia,2003,185.48
Australia,2004,2722.53
Austria,2004,967.52
Belgium,2004,
Canada,2004,7148.62
Czech Republic,2004,1108.9
Denmark,2004,560.83
Finland,2004,1039.52
France,2004,5966.83
Germany,2004,8669.33
Greece,2004,771.22
Hungary,2004,739.88
Italy,2004,5241.95
Japan,2004,12876.68
Korea,2004,
Lithuania,2004,176.98
Netherlands,2004,2071.17
New Zealand,2004,817.03
Poland,2004,2246.04
Portugal,2004,702.1
Slovak Republic,2004,433.9
Spain,2004,3707.41
Switzerland,2004,732.23
United Kingdom,2004,5673.01
United States,2004,59122.87
IEA,2004,133544.2
Brazil,2004,
Slovenia,2004,191.11
Australia,2005,2747.8
Austria,2005,990.48
Belgium,2005,
Canada,2005,7122.34
Czech Republic,2005,1089.18
Denmark,2005,565.28
Finland,2005,1010.29
France,2005,5948.92
Germany,2005,8594.38
Greece,2005,776.35
Hungary,2005,753.81
Italy,2005,5301.12
Japan,2005,12741.8
Korea,2005,
Lithuania,2005,187.72
Netherlands,2005,2057.6
New Zealand,2005,808.57
Poland,2005,2242.33
Portugal,2005,712.6
Slovak Republic,2005,414.65
Spain,2005,3784.33
Switzerland,2005,732.67
United Kingdom,2005,5627.81
United States,2005,57546.17
IEA,2005,132210.02
Brazil,2005,6527.0
Slovenia,2005,196.04
Australia,2006,2742.13
Austria,2006,1007.78
Belgium,2006,
Canada,2006,7014.51
Czech Republic,2006,1105.63
Denmark,2006,583.08
Finland,2006,1061.96
France,2006,5927.61
Germany,2006,8728.6
Greece,2006,782.94
Hungary,2006,766.3
Italy,2006,5309.24
Japan,2006,12756.68
Korea,2006,
Lithuania,2006,199.21
Netherlands,2006,2035.49
New Zealand,2006,815.26
Poland,2006,2367.08
Portugal,2006,704.6
Slovak Republic,2006,419.79
Spain,2006,3733.78
Switzerland,2006,742.72
United Kingdom,2006,5541.37
United States,2006,56615.77
IEA,2006,131098.03
Brazil,2006,6714.51
Slovenia,2006,199.89
Australia,2007,2825.95
Austria,2007,1008.47
Belgium,2007,
Canada,2007,7194.16
Czech Republic,2007,1096.24
Denmark,2007,587.86
Finland,2007,1057.05
France,2007,5854.91
Germany,2007,8465.64
Greece,2007,823.18
Hungary,2007,743.42
Italy,2007,5309.37
Japan,2007,12637.05
Korea,2007,
Lithuania,2007,211.75
Netherlands,2007,2020.52
New Zealand,2007,834.8
Poland,2007,2426.51
Portugal,2007,711.56
Slovak Republic,2007,409.75
Spain,2007,3795.61
Switzerland,2007,719.58
United Kingdom,2007,5487.19
United States,2007,56911.45
IEA,2007,132133.16
Brazil,2007,7125.3
Slovenia,2007,199.68
Australia,2008,2869.14
Austria,2008,1022.81
Belgium,2008,
Canada,2008,7083.88
Czech Republic,2008,1085.2
Denmark,2008,580.26
Finland,2008,1024.3
France,2008,5809.88
Germany,2008,8803.03
Greece,2008,798.51
Hungary,2008,744.79
Italy,2008,5254.97
Japan,2008,11934.76
Korea,2008,
Lithuania,2008,210.39
Netherlands,2008,2012.21
New Zealand,2008,815.02
Poland,2008,2469.22
Portugal,2008,687.06
Slovak Republic,2008,417.32
Spain,2008,3667.75
Switzerland,2008,733.63
United Kingdom,2008,5319.66
United States,2008,55207.25
IEA,2008,129867.6
Brazil,2008,7368.31
Slovenia,2008,201.21
Australia,2009,2817.61
Austria,2009,968.22
Belgium,2009,
Canada,2009,6768.98
Czech Republic,2009,1015.71
Denmark,2009,547.48
Finland,2009,948.7
France,2009,5617.98
Germany,2009,8261.32
Greece,2009,764.27
Hungary,2009,713.05
Italy,2009,4900.72
Japan,2009,11603.62
Korea,2009,
Lithuania,2009,187.56
Netherlands,2009,1946.57
New Zealand,2009,780.15
Poland,2009,2364.37
Portugal,2009,682.67
Slovak Republic,2009,395.69
Spain,2009,3400.09
Switzerland,2009,728.72
United Kingdom,2009,4995.52
United States,2009,52521.18
IEA,2009,123698.93
Brazil,2009,7194.61
Slovenia,2009,191.94
Australia,2010,2917.6
Austria,2010,1004.81
Belgium,2010,1309.83
Canada,2010,6932.53
Czech Republic,2010,994.54
Denmark,2010,546.21
Finland,2010,1023.0
France,2010,5645.34
Germany,2010,8623.15
Greece,2010,730.99
Hungary,2010,705.12
Italy,2010,4919.06
